arm,regime,train_N,deploy_N,noise_ratio,n_params,viol_pre,viol_k1,viol_k5,ill_pct_pre,ill_pct_k1,ill_pct_k5,nn_pre,nn_k1,nn_k5,kg_pre,kg_k1,kg_k5,disp_k1,disp_k5,viol_red_k1,viol_red_k5,knn_keep_k5,uniform_frac_k1,nn_cv_pre,nn_cv_k5,checkpoint
traj_gns_noise1.0,trajectory,49,2500,1.0,347966,,,,99.39199999999998,,78.11466666666666,0.014571923631629043,,0.019649298548811308,0.3331339220205943,,0.13462307502826054,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_12-09-25\model_best.pt
trajfine_model12_noise1.0,synthetic,49,49,1.0,350594,0.0017411690205335617,0.00037091071135364473,2.640151433297433e-05,4.618409648537636,2.883184514939785,0.8317389525473118,0.09185289591550827,0.12776215374469757,0.14122873544692993,0.3501448631286621,0.058622464537620544,0.03079918585717678,0.04238361120223999,0.04992708936333656,37.57192174844517,81.99079401460087,0.6325017809867859,0.04481729865074158,0.40890786051750183,0.023714179173111916,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_11-05-02\model_best.pt
trajfine_model12_noise1.0,trajectory,49,2500,1.0,350594,,,,99.45070422535206,,80.56281690140842,0.014568624559996773,,0.019496708442204684,0.32692246705713407,,0.12296734708295741,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_11-05-02\model_best.pt
trajfine_gns_noise1.0,synthetic,49,49,1.0,347966,0.0017411690205335617,0.00021617904712911695,1.1401719348214101e-05,4.618409648537636,2.4141687899827957,0.3932822961360216,0.09185289591550827,0.13355208933353424,0.14150051772594452,0.3501448631286621,0.04964723438024521,0.02045726589858532,0.043827056884765625,0.05331088975071907,47.72727272639398,91.48446490050202,0.6021479368209839,0.024502865970134735,0.40890786051750183,0.015617822296917439,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_12-09-25\model_best.pt
trajfine_gns_noise1.0,trajectory,49,2500,1.0,347966,,,,99.45070422535206,,78.37859154929572,0.014568624559996773,,0.01964653198211197,0.32692246705713407,,0.13193448874312388,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_12-09-25\model_best.pt
traj_lam3_0,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0008072941564023495,0.0005024137790314853,4.024500399827957,3.4863945096731186,3.3163264393806458,0.1002814993262291,0.11321423947811127,0.12421436607837677,0.2259686291217804,0.16844265162944794,0.14074784517288208,0.17246794700622559,0.8484278917312622,13.370749421969059,17.596566523233353,0.7010667324066162,0.9802874326705933,0.3494243025779724,0.1354491412639618,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_11-39-40\model_best.pt
traj_lam3_0,trajectory,49,2500,0.6,350594,,,,99.39199999999998,,95.58933333333334,0.014571923631629043,,0.016709919213827005,0.3331339220205943,,1.4712425231933595,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_11-39-40\model_best.pt
bridge_maxagg,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0001152539043687284,9.719964282339788e-07,4.024500399827957,1.6687925904989243,0.04650297632906586,0.1002814993262291,0.1371328979730606,0.14220185577869415,0.2259686440229416,0.034832388162612915,0.010555123910307884,0.0347357839345932,0.04242952540516853,58.53416969173121,98.84450313426014,0.6675573587417603,0.024181192740797997,0.3494243025779724,0.005986426491290331,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_13-31-01\model_best.pt
bridge_nokernel,synthetic,49,49,0.6,351638,0.0012976207071915269,0.0012976207071915269,0.0012976204743608832,4.024500399827957,4.024500399827957,4.024500399827957,0.1002814993262291,0.1002814993262291,0.1002814993262291,0.2259686440229416,0.225968599319458,0.2259683609008789,0.23758788406848907,1.1879390478134155,0.0,0.0,1.0,0.9999997615814209,0.3494243025779724,0.3494243025779724,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_12-54-59\model_best.pt
arch_pointnet2_n49_noise0.6,synthetic,49,49,0.6,350240,0.0012976207071915269,0.001045410754159093,0.0006743856356479228,4.024500399827957,3.643175959587097,3.2565370202064514,0.1002814993262291,0.10557133704423904,0.11610142141580582,0.2259686440229416,0.15776824951171875,0.10647420585155487,0.01691814512014389,0.028453156352043152,9.475074281741037,19.08220534789658,0.7682474255561829,0.3267863392829895,0.3494243025779724,0.23795822262763977,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_13-41-41\model_best.pt
